KEY,English,japanese(翻訳),翻訳率:93.04% (1044/1122)
acttitleLook,ALT Look Mode,自由視点モード,
actdescLook,"[i]Q: How to use the ALT-look Mode?[/i]\n- Hit V to switch to the 3rd Person view. Then hit ALT only ONCE and the camera view gets un-docked from your Player Avatar or Vessel. Use the mouse to move the camera view. Use the mouse wheel to zoom in and out\n- You can still walk/fly by using the Arrow-Keys and the WASD +Q/E commands\n- The ALT-look mode also works in 1st Person, for example when sitting in a Cockpit!",[i] Q:自由視点の使い方[/i]\n- 三人称視点に切り替えるには、Vを押します。 その後、ALTを1回だけ押すとカメラの操作がプレーヤーのアバターまたは船舶から独立します。 カメラビューを移動するには、マウスを使用します。 マウスホイールを使用してズームイン・アウトします。\n-矢印キーとWASD + Q / Eコマンドを使用してプレイヤーや自機を操作できます。\n- 自由視点モードは、コクピット時など一人称視点でも機能します!,
acttitlePvPvE,PvP vs PvE,PvP vs PvE,
actdescPvPvE,"[i]Q: What is the difference between PvP and PvE planets/orbits?[/i]\nWhen you open the map (M) you can see a list of planets and orbits. Click on one of them and you'll notice a green PvE or red PvP. This is more relevant for Multiplayer, though. \n\n- [u]PvE:[/u] No other players can damage you or your vessel or base with weapons or tools. Only Alien drones and Alien creatures can do so. Vice-versa: you can destroy Alien bases with your weapons (but NOT with tools!) and any wildlife.\n\n[u]There is only one exception:[/u] As soon as you destroy the Core of an Alien POI and/or swap it with your own Base Core, the blocks of the structure are becoming immune to weapon fire. You need to work on this former Alien POI with the Remove & Repair tool.\n\n- [u]PvP:[/u] Anything goes. You or your structures are NOT protected in any way as long as you are online. Build an Offline Protection device to protect your PvP-Bases and Capital Vessels while you are offline.",[i] Q: 惑星や軌道におけるPvPとPvEの違いは何?[/i]\n A:マップ(M)を開くと、惑星と軌道のリストが表示されます。 そのうちの1つをクリックすると、緑色のPvEまたは赤色のPvPが表示されます。 これはマルチプレイヤーにとって、より重要です。 \n\n- [u] PvE:[/u]他のプレイヤーはあなたはもちろん、あなたの船や基地に武器や道具で傷つけることはできません。 エイリアンドローンやエイリアンクリーチャーだけがそうすることができます。 あなたもツールではなく武器でエイリアン基地を破壊したり、野生生物を殺せます。\n\n[u]1つだけ例外があります:[/u]エイリアンPOIのコアを破壊したり、自分のベースコアと交換すると、その構造物のブロックはあなたの武器の影響をうけなくなります。その元エイリアンPOIの修復・破壊はマルチツールで作業をする必要があります。 \n\n- [u] PvP:[/u]なんでも可。あなたやその構造物は、オンラインである間は、一切保護されません。 オフライン中にPvPの基地やCVを保護するには、オフライン・プロテクションデバイスを設置してください。,
tasktitleGGM2,Global Game Mechanics - Part II,ゲーム全体の仕組みⅡ,
taskheadGGM2,Global Game Mechanics - Part II,ゲーム全体の仕組みⅡ,
acttitleRegistry,Registry,レジストリ,
actdescRegistry,[i]Q: What is the Registry?[/i]\nThe Registry is a repository of all your vessels and bases. \n\n[i]Q: Where do i find the Registry[/i]\nOpen your inventory and find the Registry-button in the icon row on the top.\n[i]Q: What is the purpose of the Registry?[/i]\nYou can manage your Vessels and Bases from remote if you are in the same playfield.\n- You can not use all base features. For example you can not access Constructors or Turrets from remote.\n-You can set a persistent WAYPOINT to mark the targeted vessel or base on your HUD. This is persistent when leaving the playfield or game\n\n[i]Q:Which structures are listed in the Registry?[/i]\n- Your private structures and vessels.\n- Structures and vessels of your faction.,[i] Q:レジストリとはなんぞや?[/i]\n A:レジストリは、あなたのすべての船舶と拠点を一括管理するデータベースです。\n\n[i] Q:レジストリはどこにありますか?\n A:インベントリを開き、最上部のアイコンからレジストリボタンを探してください。\n\n[i] Q:なんの役に立つの?[/i]\n A:同じプレイフィールドにいる場合は、船舶と基地を遠隔管理できます。\n-すべての基本機能を使用することはできません。 たとえば、コンストラクターやタレットをリモートからアクセスすることはできません。\n –持続的なウェイポイントを設定して、HUD上の対象となる船舶または基地をマークすることができます。 プレイフィールドやゲームを離れても持続します。\n\n[i] Q:レジストリに列挙される構造物はなんですか?[/i]\n- あなた個人の構造物と船舶\n- 派閥の構造物と船舶,
acttitleMarketplace,Marketplace,マーケット,
actdescMarketplace,[i]Q: What is the Marketplace?[/i]\nThe Marketplace is a place to buy and sell stuff.\n\n[i]Q: How can i access the Marketplace?[/i]\nOpen the inventory and find the Marketplace button in the icon row on the top.,[i] Q:マーケットって何?[/i]\n A:マーケットは物を売買する場所です。\n\n[i] Q:マーケットにはどのようにアクセスできますか?[/i]\n A:インベントリを開いて、上部のアイコンからマーケットボタンを探してください。,
acttitleMapmarkers,Map Markers,マップマーカー,
actdescMapmarkers,"[i]Q: What are map markers?[/i]\nA1: You can set notifiactions freely on your map. Just RMB on a spot on the MAP and give it a name. This will add your marker to your personal list.\n
A2: When you open the MAP, you will find your Map Markers in the upper right tab.\n\n[i]Q: How do i add a map marker?[/i]\n1. Press M\n2. RMB on any place on the map\n3. Add a name\n4. ACCEPT\n\n[i]Q: What is the WAYPOINT checkbox doing?[/i]\nIf you check this box, the marker will change to orange and will give you a direction. The marker can be seen through the playfield terrain.\n\n[i]Q: What is REMOVE ON APPROACH checkbox doing?[/i]\nIf you only want to set a temporary marker, check this together with waypoint and the waypoint mode will be cleared from your Hud when approaching (~50m)\n\n[i]Q: What are the 2-letter buttons on the right side doing?[/i]\nPV = your private list of markers\nPU = public list of markers. Use the SC button to share your PV marker to the PU list\nSM = show marker on the map\nED = edit highlighted marker (you can also RMB the marker on the map)\nRM = remove highligthed marker (also possible with RMB the marker on the map)\nSC = Share marker to PU list\n\n[i]Q: Can i also add a map marker in space?[/i]\nOf course!",[i] Q:マップマーカーとは何ですか?[/i]\n A1:マップ上に自由に設置できる標識です 。マップ上のある地点で右クリックをすれば、名付けることができます。そうするとあなた個人のリストにそのマーカーが追加されます。\n A2:マップを開いて、右上のタブからマップマーカーを見つけてください。\n\n [i] Q:マップマーカーを追加するにはどうすればよいですか?[/i] \n1: Mを押す \n2:マップ上の任意を場所で右クリック。\n3:名前を追加する\n4:受諾する\n\n[i] Q:ウェイポイントのチェックボックスは何ですか?[/i]\nこのチェックボックスをオンにすると、マーカーがオレンジ色に変わり、指示が表示されます。マーカーは地形に遮られることはありません。\n\n[i] Q:「到着後に削除」のチェックボックスは何?[/i]\n A:一時的なマーカーとして設定したい場合に、ウェイポイントを作った時にチェックしてください。50m以内に近づくとHUD上から削除されます。\n\n[i] Q:右側のボタンは何ですか?[/i]\n- プライベート = 私的なマーカーのリスト\n- パブリック = 公開マーカーのリスト。 共有(パブリック)ボタンを使用してプライベートマーカーをパブリックリストに共有する\n- マップに表示 = 地図上に表示する\n- エディット = 強調表示されたマーカーを編集する(地図上でマーカーを右クリックでも可)\n- 削除 = 選んだマーカーを削除します(同じく右クリックでも可)\n- 共有(パブリック) = マーカーをパブリックリストに共有する\n\n[i] Q:宇宙にマーカーを追加することはできますか?[/i]\n A:もちろん!,
tasktitleTemperatur,Temperature - Radiation - Weather,温度 - 放射線 - 天気,
taskheadTemperatur,Temperature - Radiation - Weather,温度 - 放射線 - 天気,
acttitleTInfo,Temperatur,温度,
actdescTInfo,"[i[Q: What do the 2x3 number blocks aka environmental info below the radar minimap want to tell me?[/i]\nA1: The upper block is the TEMPERATURE. The big number on the left is the temperature at your CURRENT POSITION. The small upper number is your current BODY TEMPERATURE. The small lower number is only shown if you are inside a base or vessel. This is telling you the OUTSIDE TEMPERATURE. If you are outside a base or vessel, this is of course the same as the CURRENT LOCATION temp (and thus removed from the HUD to reduce confusion)\nA2: The lower block is the RADIATION. The big number on the left side is the radiation level on your CURRENT POSITION. The small upper number is yoour BODY RADIATION level. The small lower number is the OUTSIDE RADIATION. Same principle as with temperature: The latter is only shown when you are inside a vessel or a base and is removed if you are outside.\n\n[i]Q: How does Temperature work in general?[/i]\nA1: Each Planet has a MAX and MIN temperature. The max temperature is reached at 5 pm and the min temperature at 5 am. If you go higher up in the air, the temperature will decrease. Your suit will protect you from extreme temperatures - depending on its TempMIN/MAX protection. (Can be enhanced by Boosters).\nA2: Space always has -270°C for most orbits (except a few) and is not suitable for ANY of the current suits for a longer stay (unboosted)\n\n[i]Q: Am i protected from high/low temperatures inside a base or vessel?[/i]\nIf it is activated, yes. If a station or vessel is powered, the temperature is heated up to 22-25° (Same for enclosed cockpits for SV and HV). So you are fine even with your interior suit. BUT this will not happen instantly! If your base is cooled to space temperature, it might take quite a while to heat up to a suitable temperature! No instant-heat-up!\n\n[i]Q: What happens if i am outside with a suit that can not protect me from high/low temperatures?[/i]\nA1: If the temperature is higher or lower as your protection level, your body temp will slowly rise (or fall) towards the temperature at your current position. At a certain temperature, you will start to feel cold/heated up.\nA2: If it is too cold or hot outside, just go back into your base or vessel. This will heat up/cool down your body temp. BUT THIS DOES NOT HAPPEN INSTANTLY. If this takes too long, you'll of course die.\nA3: Tip: there are some foods and beverages that increase/decrease body temperature!\n\n[i]Q: Does a hull breach lead to the temperature dropping inside a base or vessel?[/i]A: Yes!",[i] Q:レーダーミニマップの下にある大小の数字の羅列は何ですか?[/i]\n A1:上側の数字は温度です。左の大きな数字は現在の位置の温度です。小さな上の数字は現在の体温(訳注:体感温度?)、下の数字は外気温を示します。あなたが基地や船舶の外にいる場合、これはもちろん現在位置の温度と同じになります。例えばエンジンなどの発熱体の近くにいると、現在の温度は跳ね上がりますが外気温はそのままです。\n A2:下の数字は放射線です。大きな数字は現在の位置の放射線レベルです。小さい上の数字はあなたの身体の放射線レベル、下の数字は外の放射線レベルです。\n\n[i] Q:気温にはどんな効果があんすか?[/i]\n A1:各惑星には最高・最低気温が設定されています。最高気温は午後5時に達し、最低気温は午前5時に達します。一定の高度まで上昇するにつれて、気温は下がります。あなたのスーツは、その対応可能温度に応じて極端な温度から保護してくれます。対応可能温度はブースターで強化できます。\n A2:一部を除くほとんどの軌道上は常に-270℃で、現在のスーツのいずれもブースターなしの長期活動には対応していません。\n\n[i] Q:基地や船内では高温/低温から保護されますか?[/i] \n基地や艦船が起動しているなら、保護されます。それらに電源が供給されている場合、温度は22～25℃に保たれます。SVおよびHVの密閉型コクピットも同じです。インナースーツですら過ごせます。ですがすぐにそう出来るとは限りません!基地が宇宙の気温にまで冷却されている場合は、適切な温度まで上昇するのにかなりの時間がかかることがあります。すぐには温まらないよ!\n\n[i] Q:高温や低温に対応していない状態で外に出るとどうなんの?[/i] \n A1:高温にしろ低温にしろ、体温(体感温度?)が現在位置の気温に応じてゆっくりと上下します。ある一定温度に達すると、あなたは寒さや熱さを感じ始めるでしょう。\n A2:寒すぎ、暑すぎ状態になったら、すぐに基地や艦船に戻ってください。そうすればあなたの体温は正常に戻ります。ですがすぐには戻りません。この対処に時間がかかりすぎるともちろん死ぬでしょう。\n A3:ヒント:体温を上げ下げするいくつかの食べ物や飲み物、施設がありますよ!\n\n[i] Q:船体の破損で基地や艦船の室温は変わりますか?[/i]\n A:当然!,
acttitleRadInfo,Radiation,放射線,
actdescRadInfo,"[i]Q: How does Radiation work in general?[/i]\nSome of the planets and space has a certain amount of radiation. Radiation does not rise or decrease, it is constant for the whole playfield. The player armors have different protection values (which can be boosted). The interior suit does NOT protect you from any RAD level!\n\n[i]Q: Am i protected from Radiation inside a base or vessel?[/i]\nYes, even if it's deactivated. (this might be subject to change in the future)\n\n[i]Q: What happens if i am outside with a suit that does not protect me from the RAD level?[/i]\nA1: Your body radiation (small upper number on the right environment info block) will pile up and lead to serious problems after short.\nA2: Unlike with temperature, your BODY-RAD level will NOT automatically decrease if you return to a base or go back into your vessel. You need to use medication to reduce it ... or maybe take a shower? ;-)\n\n[i]Q: Does a hull breach in an radiated area lead to the inside of the base/vessel to be contaminated?[/i]\nCurrently there is no permanet contamination. But if you stand at the position of the hull breach, your radiation level might rise (although you are inside the base).\n\n[i]Q: Are there weather or environmental effects with radiation?[/i]\nYes! Occasional Radioactive Fog and Mist have been reported from some planets.",[i] Q:放射線は通常どんな作用がありますか?[/i]\n A:惑星や宇宙の一部には一定の放射線量があります。放射線は増えも減りもせず、プレイフィールド全域で一定です。プレイヤーのアーマーには、異なる放射線耐性があります。耐性はブースターで強化できます。インナースーツではどんな放射線レベルからも守れませんよ!\n\n[i] Q:基地や船内では放射線から保護されていますか?[/i]\n A:はい、現在電源OFFでも保護されます。(これは将来変更される可能性があります)\n\n[i] Q:放射線レベル防御なしで外にいるとどうなりますか?[/i]\n A1:身体の放射線レベル(右にある小さな数字群の三番目)が累積して深刻な問題につながります。\n A2:温度とは異なり、身体の放射線レベルは自動的に減少しません。それを減らすには薬を使用する必要があります…或いはシャワーとか? ☆=(ゝω･)\n\n[i] Q:高放射線量地域で基地や船の壁が壊れた場合、内部は汚染されますか?[/i]\n A:現在、致命的な汚染はありませんが、たとえ基地内であっても破損箇所に居ると放射線レベルが上がるかもしれません。\n\n[i] Q:気象や環境効果は放射線に影響はありますか?[/i]\n A:はい!いくつかの惑星で、放射性の霧が時折報告されています。,
acttitleTempRadDevices,Temp and Rad for devices and blocks,デバイスとブロックの温度と放射能,
actdescTempRadDevices,"[i]Q: Do devices also have temperature and radiation?[/i]\nYES! Some of the devices will heat up or radiate the area around them, like Thrusters and Generators and Warpdrives.\n\n[i]Q: Can other blocks have temperature and radiation as well?[/i] Yes. For example the green Alien Building blocks are radioactive.\n\n[i]Q: Does the heat 'flow' into the room?[/i]\nCurrenty there is no 'transition zone'. For devices, the radiation/temperature is limited to a fixed perimeter of ONE block around them. This is subject to change in the future.",[i] Q:デバイスにも温度や放射能はある?[/i] \n A:はい、スラスタ、ジェネレータ、ワープドライブのようないくつかのデバイスは、発熱や放射線を周囲に発します。\n\n[i] Q:他のブロックにも温度や放射能はあるの?[/i]\n A:はい。例えば緑色のエイリアン建築ブロックは放射性物質です。\n\n[i] Q:熱は部屋に流れてきますか?[/i]\n A:現在、温度が移ることはありません。デバイスの放射能や温度の影響は、周囲の1ブロック範囲に制限されます。これは将来的に変更される可能性があります。,
acttitleWeather,Global Info,広域情報,
actdescWeather,"[i]Q: Is the weather dynamic?[/i]\nYes. Weather will change during day and night between the weather-options, given in the yaml of the planet.\n\n[i]Q: Which weather types are currently available?[/i]\nA: Open console and type in 'help weather' > all available settings are visible there. You can also trigger a weather change there as admin or in singleplayer.\n\n[i]Q: Does weather affect the player like with temperature or radiation increase/decrease?[/i]Absolutely! You should go inside if a blizzard starts (if you are not equipped good enough) or if radioactive fog is rising.\n\n[i]Q: Does weather effects like meteors or lightnings damage player or structures?[/i]\nA: A player can get harmed by sudden temperature rise/drops and radioactivity and by acid rain or fire rain/meteor fire storm. There is currrently no effect on bases or vessels (yet).","[i] Q:天候の変化はありますか?[/i]\n A:あります。その惑星のyamlファイルで記されたWeather設定に基づいて昼間や夜間に変化します。\n\n[i] Q:現在実装されている天候の種類は?[/i]\n A:マップを開くと右に惑星に関する情報が表示されます。或いはコンソールを開いて「help weather」と打ち込めば全ての設定が表示されます。管理者またはシングルプレイヤーとして天気を変えることもできます。\n\n[i] Q:天気は温度や放射線の増減のようにプレイヤーに影響しますか?[/i]\n A:もちろんです! もし十分な防備がない時に吹雪が始まったり放射性霧の強度が上昇したら、屋外に入るべきでしょう。\n\n[i] Q:隕石や稲妻のような、プレイヤーや構造物に損害を与える天候はありますか? [/i]\n A:突然の温度の上下、放射能や酸性雨、流星雨、火炎嵐などの被害を受けることがあります。 基地や艦船には""まだ""大きな影響はありません。",
tasktitleOxygenRooms,Oxygenated Rooms,呼吸可能な空間,
taskheadOxygenRooms,Oxygenated Rooms,呼吸可能な空間,
acttitlelORglobal,How to oxygenate,酸素の供給方法,
actdescORglobal,"[i]Q: What do i need to oxygenate a base or vessel?[/i]\nA1: You need an O2 tank and a ventilator. And your base needs to be powered.\nA2: Place the ventilator in each room that you want to be oxygenated and add some O2 to the O2 tank. Open the control panel. Activate the base and tick the checkbox 'O2'. This will fill up all the rooms with a ventilator with O2 - given your O2 capacity is high enough. The ventilator needs to be 'active' of course.\nA3: Open the console and type in 'help oxygen' to show info on how to visualize O2 level (debug mode)\nA4: If your O2 capacity/filling status is too low to oxygenate your base, the process will fail. Add more O2 Tanks or O2.\n\n[i]Q: How long does it take for a large room to be filled with O2?[/i]\nThis happens pretty instant (maybe a second or two)\n\n[i]Q: How do i know how much O2 i need to fill all the rooms that are connected?[/i]\nWhen having placed a ventilator, the Control Panel will give you an answer > look for the OXYGEN stats in the lower right corner. There you'll find something like this: OXYGEN N:166 T:834 R:166\n\nN = Needed O2 to pressurize. That's the amount of O2 you need to have in your tanks ( T )\nT = Total O2 left in tanks. Pressurizing removes the amount of shown for 'N' from the total amount. The amount left is reduced by respiration of players in your base (Helmet off) over time\nR = O2 currently used/blocked by ventilators (0 = no room oxygenated)\n\nUsecases:\n- If N<T, your base can not be oxygenated. Add more tanks and O2\n- If T=0, the 'free O2' is gone and the base will automatically deoxygenate. This will move the amount of O2, which was blocked by the ventilators (figure R) back to the tanks. (If there is enough room)\n- If you deoxygenate your base manually, the amount of figure R will be moved back to the tanks. If there is not enough room in your O2 tanks, the excess is lost.\n- If a hull breach happens, the O2 in this room is lost, BUT the vents will not try to refill the affected room! So the ventilator is still active, but will not waste precious O2.\n\n",[i] Q:基地や艦船内を酸素で満たすには何が必要ですか?[/i]\n A1:酸素タンクと換気装置が必要です。もちろん電力も。\n A2:酸素を供給したい部屋に換気装置を置き、酸素タンクに酸素を補充します。コントロールパネルを開いて基地の電源と酸素をOnにします。これにより、換気装置のある全ての部屋が酸素で満たされます…十分な酸素容量があれば。換気装置はもちろんアクティブにする必要があります。\n A3:Nキーでビルドツールを開き、Debug→酸素を表示にチェックすれば酸素を視覚化出来ます。\n A4:基地や船舶の酸素を満たせるだけの十分なタンク容量・充填量がないと動きません。酸素タンクの設置や酸素の補充をしてください。\n\n[i] Q:大きな部屋を酸素で満たすのにどのくらい時間がかかりますか?[/i]\n A:せいぜい1～2秒で完了します。\n\n[i] Q:接続されたすべての部屋に酸素を供給するための必要量を知るにはどうすればいいですか?\n A:換気装置を設置すればコントロールパネルの上段左にある情報欄から知ることができます。\n\n 加圧に必要な酸素量:加圧するためにタンクに最低限必要な酸素量です。\n 現在のタンク内:現在タンクに残っている総酸素量。加圧するとここから「加圧に必要な酸素量」分引かれます。また、ヘルメットを脱いだプレイヤーの呼吸によっても減少します。\n 現在の使用量 = 現在換気装置で使用されている酸素量。ここが0なら換気装置が無いか、動いていません。\n\n使用例:\n- 必要量＞タンク内だと加圧できません(酸素をOnにしてもすぐ止まる)。タンクと酸素を追加しなければなりません。\n- タンク内が0の場合、酸素の余裕が無くなって基地は自動的に酸素供給を停止します。これにより、加圧に使用していた分がタンクに戻されます。\n- 基地などの酸素供給を手動で停止すると、加圧に使用していた分はタンクに戻されます。酸素タンクに十分な空きがない場合は、余った分は失われます。\n 船体が損傷すると、その部屋の酸素は失われますが、換気装置はその影響を受けた部屋への酸素供給を停止します!したがって、換気装置が動作中でも貴重な酸素を無駄にすることはありません。,
acttitleOquest,Gameplay Questions,ゲームプレイの質問,
actdescOquest,"[i]Q: Are oxygenated rooms available for all vessels and structures?[/i]\nYes!\n\n[i]Q: Do i consume less O2 when i am in an oxygenated room with helmet off compared to helmet equipped?[/i]\nYes! But you even use up your suit O2 less fast if your helmet is still unfolded in an oxygenated base.\n\n[i]Q: Are there different pressure levels?[/i]\nNo. The atmosphere in a room either has O2 or not.\n\n[i]Q: Which blocks are airtight?[/i]\nA: Have a look at the block info panel for infos about airtight value. Most of the doors are airtight for example - but not all. Airtight doors have a blue containment field active while sealing a room\n\n[i]Q: Can i switch off the containment field of a door to let O2 flow?[/i]\nNot yet.\n\n[i]Q: What happens if i open a door? Will O2 flow in the next room?[/i]\nBasically no. There are non-airtight doors that do not hinder the flow of O2 either open or closed. All other doors (including hangar doors, shutter doors) have a sealing field to keep the O2 inside. This field can not (yet) be deactivated per manually, but depends on the global on/off status of the base.\n\n[i]Q: Does O2 get lost if i open a hangar door and deactivate the base?[/i]\nNo. If you deactivate your base, a decompressing sequence is run and all the O2 is moved back into the tanks (if there is enough room. If not, the excess is lost).\n\n[i]Q: Does O2 get lost if someone blasts a hole in may base / If i remove a block thats leading to a hole in the wall?[/i]\nA1: IF this is a 'hull breach' to the non-O2 outside world or space either by damage or by removing the 'wrong block' the O2 in the room is lost.\nA2: In this case, the Ventilator is not shut down, but it also will not try to refill the room. So no additional O2 is lost after the hull breach happens.\n\n[i]Q: Do players in my base use up the O2 in the tanks?[/i]\nA: YES! If you are in your base (helmet off) you and any other player will use up a certain amount of O2 over time (reducing the total amount > T )","[i] Q:部屋の加圧は全ての構造物と艦船で可能ですか?[/i]\n A:はい!\n\n[i] Q:酸素のある部屋でヘルメットを脱ぐと、装備している時と比べて酸素消費を抑えられますか?[/i]\n A:はい!酸素のある部屋でヘルメットを脱がないでいると、スーツの酸素を使い切るのはその分早まるでしょう。\n\n[i] Q:気圧の違いはありますか?[/i]\n A:ありません。あるのは部屋が酸素で充填されているかどうかのみです。\n\n[i] Q:どのブロックに気密性がありますか?[/i]\n A:気密値に関する情報については、ブロックの情報パネルを見てください。ほとんどのドアは気密ですが、すべてではありません。気密ドアには、部屋を密封する青いフィールドがあります。\n\n[i] Q:酸素が流れるようにするためにドアの気密を解除できますか?[/i]\n A:まだできません\n\n[i] Q:ドアを開けたらどうなりますか?隣の部屋等に酸素は流れますか?[/i] \n A:基本的にはありません。ですが、開閉に関わらず酸素を妨げない非気密ドアがあります。格納庫扉、シャッタードアを含む他のすべてのドアには酸素を空間内に保つための密閉フィールドがあります。このフィールドは手動では無効にすることは ""まだ"" できませんが、電源のON/OFFに依存します。\n\n[i] Q:じゃあドアを開けて電源を切れば酸素はなくなりますか?[/i]\n A:いいえ。電源を落とすと減圧シーケンスが実行され、すべての酸素はタンクに戻されます。空きが十分に無ければその分は捨てられます。\n\n[i] Q:誰かが基地を爆破して穴を開けたり、壁の穴に繋がっているブロックを取り除くと、酸素は失われますか?[/i]\n A1:無酸素の外界や宇宙空間で船体破損した場合や「間違ったブロック」を取り除けば、部屋の酸素は失われます。\n A2:この場合、換気装置は機能停止しませんが、破損した部屋に酸素は供給されません。したがって船体の破損後に、さらに酸素を失うことはありません。\n\n[i] Q:基地内のプレイヤー達はタンク内の酸素を使い切ったりしますか?[/i]\n A:はい!あなたが基地にいて、あなたと他のプレイヤーがヘルメットを脱いでいると、時間の経過とともに一定量の酸素を使い果たします。(タンク内総量が減ります)",
tasktitlePlayerArmor,Player Armor- Boosters - Durability - Repair,アーマー - ブースター - 耐久性 – 修理,
taskheadPlayerArmor,Player Armor- Boosters - Durability - Repair,アーマー - ブースター - 耐久性 – 修理,
acttitlePlayerA,Player Armor,アーマー,
actdescPlayerA,"[i]Q: Which player armors are currently available?[/i]\nLight, Medium, Heavy. If you do not equip any suit, you are still wearing your'Interior Suit'. This one has no protection from Temperature and Radiation, no Jetpack, not booster slots - but also is not limited in movement, jump height and other parameters.\n\n[i]Q: Can i build all of them?[/i]\nCurrently not. You can only build the LIGHT ARMOR. You need to find the MEDIUM and HEAVY suits in POIs/in loot.\n\n[i]Q: Do i loose a player armor if i die?[/i]\nNo. You spawn with your last-used player armor equipped.\n\n[i]Q: How can i change my player armor?[/i]\nYou need to go to a Armor locker. Access the device and change suits or add/remove boosters\n\n[i]Q: Can i repair my player armor?[/i]\nYes. You need a REPAIR STATION. Just place the item in the inventory and click REPAIR.\n\n[i]Q: Can i store my armors in the Armor Locker?[/i]\nA: Yes!",[i] Q:今使えるアーマーって何がありますか?[/i]\n A:ライト、ミディアム、ヘビーです。これらを脱いでもインナースーツは着ています。これには温度耐性も放射線耐性もなく、ブースタースロットもジェットパックも無しですが、移動速度やジャンプ力、その他のパラメータに一切の負荷が付きません。\n\n[i] Q:これらは製作できますか?[/i]\n A:現在のところはライトアーマーのみ製作できます。ミディアムとヘビーは、POIのカーゴや敵から入手するか、マーケットから購入する必要があります。\n\n[i] Q:死んだらアーマーは失いますか?[/i]\n A:いいえ。死亡時に着ていたアーマーを着たまま復活します。\n\n[i] Q:アーマーを変更するにはどうすればいいですか?[/i]\n A:アーマーロッカーで着替える必要があります。アーマーを着替えたり、ブースターを追加・変更するならアーマーロッカーにアクセスしてください。\n\n[i] Q:アーマーは修理できますか?[/i]\n A:はい、できます。ただしリペアステーションが必要です。設置したリペアステーションの中にアイテムを入れ、修理ボタンをクリックしてください。\n\n[i] Q:アーマーをアーマーロッカーに収納できますか?[/i]\n A:はい、できますよ!,
acttitleBooster,Boosters,ブースター,
actdescBooster,"[i]Q: Which types of boosters are available at the moment?[/i]\nArmor, Jetpack, Temperature, Radiation, O2, Mobility, Multi, EVA.\n\n[i]Q: How many boosters can i use simultaneously?[/i]\nDepends on the slots available. This is different for each Player Armor. Interior Suit has no booster slots.\n\n[i]Q: Are there limitations how many boosters of the same kind i can use simultaneously?[/i]\nNo. You can for example stuff all of the slots with Armor Boosters...but you migh also pile up the penalties each of the boosters has.\n\n[i]Q: Can i build all of the boosters?[/i]\nNo, boosters need to be found or traded. You can not build them (yet).\n\n[i]Q: Where do i get boosters?[/i]\nBoosters are available from loot. More possibilities will be added in the future.\n\n[i]Q: Do i loose boosters if i die?[/i]\nCurrently not. You are respawned in your last equipped player armor incl. the boosters that were added to this player armor\n\n[i]Q: How can i change / apply boosters?[/i]\nYou need to go to a Armor locker. Access the device and change suits or add/remove boosters\n\n[i]Q: Do i need to re-add boosters every time i change the player armor?[/i]\nNO! The boosters are saved to your Player Armor slots. So you can stuff several player armors with a variation of boosters and just need to swap the player armor to have the setup re-applied!",[i] Q:現在どんなブースターが利用できますか?[/i]\n A:アーマー、ジェットパック、断熱、エヴァ(耐冷)、放射線防護、酸素タンク、モビリティ、マルチです。\n\n[i] Q:同時にどれだけ装備できますか?[/i]\n A:利用可能なスロットに依存します。アーマーごとに装備できる数が異なります。インナースーツにはブースタースロットはありません。\n\n[i] Q:同種のブースターを同時に装備することに制限は有りますか?[/i]\n A:いいえ。例えば全部アーマーで埋めることも出来ます…が、ブースターのペナルティも積み重なります。\n\n [i] Q:すべてのブースターは作製できますか?[/i]\n A:いいえ、ブースターを見つけたり、取引したりする必要があります。”まだ”作製できません。\n\n[i] Q:ブースターはどこで入手できますか?[/i]\n A:戦利品から入手できます。今後さらなる可能性が追加されていきますよ。\n\n[i] Q:死んだらブースターをロストしますか?[/i]\n現在はありません。最後に装備していたアーマーおよびブースターのまま復帰します。\n\n[i] Q:ブースターを追加・変更するにはどうすればいいですか?[/i]\n A:アーマーロッカーで着替えてください。デバイスにアクセスしてスーツの交換なりブースターの脱着なりをしてください。\n\n[i] Q:アーマー交換のたびにブースターを追加する必要がありますか?[/i]\n A:YesでもNoでもあります。ブースターはアーマーに保存されるので、色々な組み合わせのブースターを付けた、いくつものアーマーを状況に応じて交換して使用することができます!当然、ブースターに余裕がない場合は古いアーマーから付け替える必要があります。,
acttitleDandR,Durability and Repair,修理と耐久力,
